[1612298700000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612298999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612299000000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612299299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612299300000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612299599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612299600000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612299899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612299900000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612300199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612300200000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612300499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612300500000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612300799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612300800000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612301099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612301100000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612301399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612301400000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612301699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612301700000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612301999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612302000000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612302299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612302300000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612302599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612302600000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612302899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612302900000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612303199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612303200000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.01000000', 1612303499999, '7722.00000000', 1, '0.01000000', '7722.00000000', '0']
[1612303500000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612303799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612303800000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00000000', 1612304099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
